d,T,N,run,option_type,barrier_type,K,B,y0,runtime
1, 0.500000, 50, 0, call, up_and_out, 47.000000, 46.000000, -0.000391, 355.789939
1, 0.500000, 50, 1, call, up_and_out, 47.000000, 46.000000, 0.000245, 350.238715
1, 0.500000, 50, 2, call, up_and_out, 47.000000, 46.000000, 0.000164, 351.815607
1, 0.500000, 50, 3, call, up_and_out, 47.000000, 46.000000, -0.000101, 353.667576
1, 0.500000, 50, 4, call, up_and_out, 47.000000, 46.000000, -0.000100, 354.289683
1, 0.500000, 50, 5, call, up_and_out, 47.000000, 46.000000, 0.000100, 355.138002
1, 0.500000, 50, 6, call, up_and_out, 47.000000, 46.000000, -0.000033, 355.913470
1, 0.500000, 50, 7, call, up_and_out, 47.000000, 46.000000, 0.000355, 355.772090
1, 0.500000, 50, 8, call, up_and_out, 47.000000, 46.000000, -0.000094, 356.259635
1, 0.500000, 50, 9, call, up_and_out, 47.000000, 46.000000, 0.000036, 356.411740
1, 0.500000, 50, 0, call, up_and_out, 47.000000, 53.000000, 0.204891, 356.733859
1, 0.500000, 50, 1, call, up_and_out, 47.000000, 53.000000, 0.313993, 356.876151
1, 0.500000, 50, 2, call, up_and_out, 47.000000, 53.000000, 0.232138, 357.286722
1, 0.500000, 50, 3, call, up_and_out, 47.000000, 53.000000, 0.183799, 357.235799
1, 0.500000, 50, 4, call, up_and_out, 47.000000, 53.000000, 0.211934, 357.203031
1, 0.500000, 50, 5, call, up_and_out, 47.000000, 53.000000, 0.211399, 357.038302
1, 0.500000, 50, 6, call, up_and_out, 47.000000, 53.000000, 0.231926, 357.623057
1, 0.500000, 50, 7, call, up_and_out, 47.000000, 53.000000, 0.016111, 356.953562
1, 0.500000, 50, 8, call, up_and_out, 47.000000, 53.000000, 0.158828, 357.310078
1, 0.500000, 50, 9, call, up_and_out, 47.000000, 53.000000, 0.097853, 360.371897
1, 0.500000, 50, 0, call, up_and_out, 52.000000, 46.000000, -0.000123, 359.615259
1, 0.500000, 50, 1, call, up_and_out, 52.000000, 46.000000, -0.000551, 357.926682
1, 0.500000, 50, 2, call, up_and_out, 52.000000, 46.000000, 0.000201, 358.141649
1, 0.500000, 50, 3, call, up_and_out, 52.000000, 46.000000, 0.000080, 358.226280
1, 0.500000, 50, 4, call, up_and_out, 52.000000, 46.000000, -0.000048, 358.432076
1, 0.500000, 50, 5, call, up_and_out, 52.000000, 46.000000, -0.000367, 358.206938
1, 0.500000, 50, 6, call, up_and_out, 52.000000, 46.000000, -0.000051, 358.021464
1, 0.500000, 50, 7, call, up_and_out, 52.000000, 46.000000, 0.000123, 358.284273
1, 0.500000, 50, 8, call, up_and_out, 52.000000, 46.000000, -0.000100, 358.301732
1, 0.500000, 50, 9, call, up_and_out, 52.000000, 46.000000, 0.000112, 358.556038
1, 0.500000, 50, 0, call, up_and_out, 52.000000, 53.000000, 0.002978, 358.045144
1, 0.500000, 50, 1, call, up_and_out, 52.000000, 53.000000, 0.002859, 358.234721
1, 0.500000, 50, 2, call, up_and_out, 52.000000, 53.000000, 0.003048, 358.578231
1, 0.500000, 50, 3, call, up_and_out, 52.000000, 53.000000, 0.003689, 358.576241
1, 0.500000, 50, 4, call, up_and_out, 52.000000, 53.000000, 0.003600, 358.504634
1, 0.500000, 50, 5, call, up_and_out, 52.000000, 53.000000, 0.002343, 358.487138
1, 0.500000, 50, 6, call, up_and_out, 52.000000, 53.000000, 0.003822, 358.794334
1, 0.500000, 50, 7, call, up_and_out, 52.000000, 53.000000, 0.003555, 358.384856
1, 0.500000, 50, 8, call, up_and_out, 52.000000, 53.000000, 0.001921, 358.083924
1, 0.500000, 50, 9, call, up_and_out, 52.000000, 53.000000, 0.004058, 357.859133
