d,T,N,run,option_type,y0,runtime
1,0.500000,50,0,call,1.665939,11.613867
1,0.500000,50,1,call,1.429958,11.565088
1,0.500000,50,2,call,2.451690,11.565976
1,0.500000,50,3,call,1.062238,11.722520
1,0.500000,50,4,call,1.223988,11.733367
1,0.500000,50,5,call,2.292313,11.485247
1,0.500000,50,6,call,2.621361,11.537302
1,0.500000,50,7,call,1.719089,11.584244
1,0.500000,50,8,call,1.630483,11.662838
1,0.500000,50,9,call,1.844289,11.585414
1,0.500000,50,0,put,3.738806,11.604884
1,0.500000,50,1,put,2.785197,11.651173
1,0.500000,50,2,put,3.847537,11.602582
1,0.500000,50,3,put,2.527286,11.676648
1,0.500000,50,4,put,2.625579,11.726903
1,0.500000,50,5,put,2.786285,11.645389
1,0.500000,50,6,put,2.596695,11.564806
1,0.500000,50,7,put,2.968933,11.426731
1,0.500000,50,8,put,3.167988,11.539395
1,0.500000,50,9,put,3.586014,11.536253
